Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000,27,21,1790,19.9,4,3,7,4,0,0,1,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,1,us USA,"MF,FW",eng Premier League,25-131,2000,19.9,4,36,15,41.7,1.81,0.75,0.11,0.27,0,0,1,us USA,"MF,FW",eng Premier League,25-131,2000,27,1790,66,71.0,19.9,21,79,2,6,21,1,1.04,30,25,+5,+0.25,+2.10,1,us USA,"MF,FW",eng Premier League,25-131,2000,19.9,1,0,0,14,37,5,30,13,22,0
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,2,1,120,1.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2,eng ENG,DF,eng Premier League,19-293,2006,1.3,0,0,0,,0.00,0.00,,,0,0,3,eng ENG,DF,eng Premier League,19-293,2006,2,120,60,4.8,1.3,1,75,0,1,45,11,0.00,0,4,-4,-3.00,-2.59,2,eng ENG,DF,eng Premier League,19-293,2006,1.3,0,0,0,2,1,0,3,2,2,0
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,16,3,492,5.5,2,0,2,2,0,0,0,0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,3,ma MAR,"MF,FW",es La Liga,20-049,2006,5.5,2,15,4,26.7,2.74,0.73,0.13,0.50,0,0,5,ma MAR,"MF,FW",es La Liga,20-049,2006,16,492,31,21.0,5.5,3,77,1,13,20,10,1.69,10,7,+3,+0.55,+0.31,3,ma MAR,"MF,FW",es La Liga,20-049,2006,5.5,0,0,0,4,3,1,25,2,1,0
4,Himad Abdelli,dz ALG,"FW,MF",Marseille,fr Ligue 1,26.0,1999,4,0,67,0.7,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,4,dz ALG,"FW,MF",fr Ligue 1,26-105,1999,0.7,0,3,1,33.3,4.03,1.34,0.00,0.00,0,0,6,dz ALG,"FW,MF",fr Ligue 1,26-105,1999,4,67,17,3.1,0.7,0,,0,4,17,0,1.00,1,5,-4,-5.37,-6.32,4,dz ALG,"FW,MF",fr Ligue 1,26-105,1999,0.7,1,0,0,3,0,0,1,0,1,0
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,5,dz ALG,MF,fr Ligue 1,26-105,1999,10.5,2,11,5,45.5,1.05,0.48,0.00,0.00,2,2,7,dz ALG,MF,fr Ligue 1,26-105,1999,13,943,73,43.7,10.5,11,81,4,2,25,0,1.38,12,13,-1,-0.10,+0.42,5,dz ALG,MF,fr Ligue 1,26-105,1999,10.5,1,0,0,16,12,1,9,13,17,0
6,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32.0,1993,15,11,908,10.1,1,0,1,1,0,0,4,1,0.10,,,,,,,,,,,,,,,,,,,,,,,,,6,tn TUN,"DF,MF",fr Ligue 1,32-072,1993,10.1,1,4,1,25.0,0.40,0.10,0.25,1.00,0,0,8,tn TUN,"DF,MF",fr Ligue 1,32-072,1993,15,908,61,42.0,10.1,11,74,6,4,24,1,0.73,15,13,+2,+0.20,+1.35,6,tn TUN,"DF,MF",fr Ligue 1,32-072,1993,10.1,4,1,1,14,13,0,24,9,8,0
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,14,9,663,7.4,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,7,gh GHA,MF,fr Ligue 1,25-341,2000,7.4,0,0,0,,0.00,0.00,,,0,0,9,gh GHA,MF,fr Ligue 1,25-341,2000,14,663,47,30.7,7.4,9,64,1,5,17,8,1.14,13,15,-2,-0.27,+0.45,7,gh GHA,MF,fr Ligue 1,25-341,2000,7.4,3,0,0,14,7,0,1,9,7,0
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,17,7,745,8.3,0,2,2,0,0,0,1,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,8,sa KSA,MF,fr Ligue 1,26-227,1999,8.3,0,3,1,33.3,0.36,0.12,0.00,0.00,0,0,10,sa KSA,MF,fr Ligue 1,26-227,1999,17,745,44,34.5,8.3,7,84,4,10,16,6,1.88,16,9,+7,+0.85,-0.24,8,sa KSA,MF,fr Ligue 1,26-227,1999,8.3,1,0,0,13,7,1,23,4,17,0
9,Tay Abed,il ISR,MF,Levante,es La Liga,21.0,2004,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,9,il ISR,MF,es La Liga,21-359,2004,0.3,0,0,0,,0.00,0.00,,,0,0,11,il ISR,MF,es La Liga,21-359,2004,2,23,12,1.0,0.3,0,,0,2,12,4,0.50,0,1,-1,-3.91,-3.33,9,il ISR,MF,es La Liga,21-359,2004,0.3,0,0,0,0,1,0,1,1,1,0
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,23,23,1982,22.0,1,0,1,1,0,0,6,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,10,fr FRA,MF,fr Ligue 1,33-029,1993,22.0,1,20,5,25.0,0.91,0.23,0.05,0.20,0,0,12,fr FRA,MF,fr Ligue 1,33-029,1993,23,1982,86,91.8,22.0,23,86,17,0,,0,1.39,32,36,-4,-0.18,-0.18,10,fr FRA,MF,fr Ligue 1,33-029,1993,22.0,6,0,0,23,23,0,9,25,22,0
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003,23,19,1812,20.1,4,2,6,4,0,1,5,0,0.30,,,,,,,,,,,,,,,,,,,,,,,,,11,fr FRA,"FW,MF",fr Ligue 1,22-339,2003,20.1,4,61,16,26.2,3.03,0.79,0.07,0.25,0,1,13,fr FRA,"FW,MF",fr Ligue 1,22-339,2003,23,1812,79,83.9,20.1,19,89,16,4,29,0,0.61,19,39,-20,-0.99,-1.25,11,fr FRA,"FW,MF",fr Ligue 1,22-339,2003,20.1,5,0,0,25,37,3,24,5,11,0
